시간: 212200 BongPrice:  33.42 BongP: 0
시간: 212300 BongPrice:  33.4 BongP: -1
시간: 212300 BongPrice:  33.4 BongP: -1
시간: 212500 BongPrice:  33.41 BongP: 1
시간: 212600 BongPrice:  33.44 BongP: 2
시간: 212700 BongPrice:  33.44 BongP: 2
시간: 212800 BongPrice:  33.44 BongP: 2
시간: 212900 BongPrice:  33.57 BongP: 3
시간: 213000 BongPrice:  33.46 BongP: -1
시간: 213200 BongPrice:  33.45 BongP: -2
시간: 213200 BongPrice:  33.49 BongP: 1
시간: 213300 BongPrice:  33.52 BongP: 2
시간: 213400 BongPrice:  33.54 BongP: 3
시간: 213500 BongPrice:  33.56 BongP: 4
시간: 213600 BongPrice:  33.59 BongP: 5
시간: 213700 BongPrice:  33.56 BongP: -1
시간: 214300 BongPrice:  33.74 BongP: 1
시간: 214300 BongPrice:  33.75 BongP: 2
시간: 214400 BongPrice:  33.8 BongP: 3
시간: 214500 BongPrice:  33.82 BongP: 4
시간: 214600 BongPrice:  33.73 BongP: -1
시간: 214800 BongPrice:  33.74 BongP: 1
시간: 214800 BongPrice:  33.78 BongP: 2
시간: 214900 BongPrice:  33.73 BongP: -1
시간: 215000 BongPrice:  33.59 BongP: -2
시간: 215100 BongPrice:  33.55 BongP: -3
시간: 215200 BongPrice:  33.49 BongP: -4
시간: 215300 BongPrice:  33.48 BongP: -5
시간: 215400 BongPrice:  33.43 BongP: -6
시간: 215500 BongPrice:  33.51 BongP: 1
